jahr,kategorie,zahlungspflichtiger,betrag_mrd_euro,notiz
2042,versorgungsdienststellen,Versorgungsdienststellen,2.051,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2043,kindererziehungszeiten,Bund,29.863,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2043,pflegezeiten,Pflegeversicherung,8.784,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2043,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.865,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2043,versorgungsdienststellen,Versorgungsdienststellen,2.102,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2044,kindererziehungszeiten,Bund,30.610,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2044,pflegezeiten,Pflegeversicherung,9.004,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2044,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,9.087,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2044,versorgungsdienststellen,Versorgungsdienststellen,2.155,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2045,kindererziehungszeiten,Bund,31.375,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2045,pflegezeiten,Pflegeversicherung,9.229,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2045,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,9.314,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2045,versorgungsdienststellen,Versorgungsdienststellen,2.209,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2046,kindererziehungszeiten,Bund,32.160,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2046,pflegezeiten,Pflegeversicherung,9.459,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2046,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,9.547,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2046,versorgungsdienststellen,Versorgungsdienststellen,2.264,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2047,kindererziehungszeiten,Bund,32.964,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2047,pflegezeiten,Pflegeversicherung,9.696,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2047,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,9.786,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2047,versorgungsdienststellen,Versorgungsdienststellen,2.320,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
