jahr,destatis_variante,destatis_variante_label,rentenalter_szenario,regelaltersgrenze,alter,bevoelkerung_altersjahr_mio,nicht_in_rente_anteil,nicht_in_rente_mio,erwerbstaetigenquote_65plus,effektive_beitragszahler_mio
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,71.500,70,1.940,1.000,1.940,0.102131,0.168
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,71.500,71,1.927,0.500,0.964,0.102131,0.084
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,71.500,72,1.932,0.000,0.000,0.102131,0.000
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,72.000,67,1.838,1.000,1.838,0.102131,0.160
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,72.000,68,1.845,1.000,1.845,0.102131,0.160
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,72.000,69,1.873,1.000,1.873,0.102131,0.163
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,72.000,70,1.940,1.000,1.940,0.102131,0.168
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,72.000,71,1.927,1.000,1.927,0.102131,0.167
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,72.000,72,1.932,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,67,2.408,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,68,2.431,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,69,2.457,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,70,2.419,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,71,2.423,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,72,2.359,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.000,67,2.408,1.000,2.408,0.102131,0.209
2035,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.000,68,2.431,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.000,69,2.457,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.000,70,2.419,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.000,71,2.423,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.000,72,2.359,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.000,67,2.408,1.000,2.408,0.102131,0.209
2035,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.000,68,2.431,1.000,2.431,0.102131,0.211
2035,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.000,69,2.457,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.000,70,2.419,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.000,71,2.423,0.000,0.000,0.102131,0.000
2035,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.000,72,2.359,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,67,1.907,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,68,2.075,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,69,2.117,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,70,2.232,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,71,2.292,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,72,2.303,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.400,67,1.907,1.000,1.907,0.102131,0.166
2039,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.400,68,2.075,0.400,0.830,0.102131,0.072
2039,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.400,69,2.117,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.400,70,2.232,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.400,71,2.292,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.400,72,2.303,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.800,67,1.907,1.000,1.907,0.102131,0.166
2039,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.800,68,2.075,1.000,2.075,0.102131,0.180
2039,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.800,69,2.117,0.800,1.694,0.102131,0.147
2039,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.800,70,2.232,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.800,71,2.292,0.000,0.000,0.102131,0.000
2039,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.800,72,2.303,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,67,2.021,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,68,2.027,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,69,1.981,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,70,1.959,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,71,1.836,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,72,1.776,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,69.500,67,2.021,1.000,2.021,0.102131,0.175
2050,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,69.500,68,2.027,1.000,2.027,0.102131,0.176
2050,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,69.500,69,1.981,0.500,0.991,0.102131,0.086
2050,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,69.500,70,1.959,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,69.500,71,1.836,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,69.500,72,1.776,0.000,0.000,0.102131,0.000
2050,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,70.667,67,2.021,1.000,2.021,0.102131,0.175
2050,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,70.667,68,2.027,1.000,2.027,0.102131,0.176
